timestamp,question,answer,feedback
2026-01-12T17:32:51.335771,What is the tuition fee for CSE?,"The tuition fee for CSE is Tk. 589,900 for students with combined GPA 10 (All A+).",dislike
2026-01-11T22:50:51.335771,How can I contact the admissions office?,You can contact admissions at admissions@university.edu or call +880-2-123456.,dislike
2026-01-09T23:30:51.335771,What is the duration of the CSE program?,The CSE program is a 4-year undergraduate degree program.,like
2026-01-14T13:40:51.335771,What is the student-faculty ratio?,The student-faculty ratio is approximately 25:1.,like
2026-01-12T18:30:51.335771,What is the student-faculty ratio?,The student-faculty ratio is approximately 25:1.,like
2026-01-14T23:59:51.335771,What is the tuition fee for CSE?,"The tuition fee for CSE is Tk. 589,900 for students with combined GPA 10 (All A+).",like
2026-01-12T23:29:51.335771,What is the student-faculty ratio?,The student-faculty ratio is approximately 25:1.,like
2026-01-15T06:13:51.335771,What programs does the university offer?,"The university offers programs in CSE, EEE, BBA, Law, and Journalism.",dislike
2026-01-13T00:24:51.335771,What is the tuition fee for CSE?,"The tuition fee for CSE is Tk. 589,900 for students with combined GPA 10 (All A+).",like
2026-01-13T19:05:51.335771,What are the admission requirements?,Admission requirements include minimum GPA of 3.5 in SSC and HSC combined.,dislike
2026-01-09T15:45:51.335771,How can I contact the admissions office?,You can contact admissions at admissions@university.edu or call +880-2-123456.,dislike
2026-01-13T04:27:51.335771,How do I apply for scholarships?,Scholarship applications can be submitted through the student portal with required documents.,like
2026-01-10T00:57:51.335771,How can I contact the admissions office?,You can contact admissions at admissions@university.edu or call +880-2-123456.,like
2026-01-13T01:58:51.335771,What programs does the university offer?,"The university offers programs in CSE, EEE, BBA, Law, and Journalism.",like
2026-01-13T12:19:51.335771,When is the next semester starting?,The next semester starts in January 2026.,like
2026-01-13T17:17:51.335771,How can I contact the admissions office?,You can contact admissions at admissions@university.edu or call +880-2-123456.,dislike
2026-01-09T20:27:51.335771,Are there any hostel facilities?,"Yes, the university provides separate hostel facilities for male and female students.",like
2026-01-09T04:51:51.335771,How do I apply for scholarships?,Scholarship applications can be submitted through the student portal with required documents.,dislike
2026-01-15T22:14:51.335771,Are there any hostel facilities?,"Yes, the university provides separate hostel facilities for male and female students.",dislike
2026-01-09T15:37:51.335771,What programs does the university offer?,"The university offers programs in CSE, EEE, BBA, Law, and Journalism.",like
2026-01-16T02:20:51.335771,When is the next semester starting?,The next semester starts in January 2026.,like
2026-01-13T00:20:51.335771,What is the student-faculty ratio?,The student-faculty ratio is approximately 25:1.,dislike
2026-01-15T03:25:51.335771,What programs does the university offer?,"The university offers programs in CSE, EEE, BBA, Law, and Journalism.",dislike
2026-01-10T22:33:51.335771,What is the duration of the CSE program?,The CSE program is a 4-year undergraduate degree program.,like
2026-01-11T18:20:51.335771,How do I apply for scholarships?,Scholarship applications can be submitted through the student portal with required documents.,dislike
