timestamp,question,answer,feedback
2026-01-15T02:01:04.429469,What programs does the university offer?,"The university offers programs in CSE, EEE, BBA, Law, and Journalism.",like
2026-01-13T04:34:04.429469,What is the duration of the CSE program?,It's a 4 years undergraduate program.,like
2026-01-11T13:55:04.429469,What is the address of the university?,"66 Mohakhali, Dhaka-1212, Bangladesh",like
2026-01-15T06:48:04.429469,What is the tuition fee for CSE?,"For CSE program, the tuition is Tk. 589,900 for top GPA students.",dislike
2026-01-10T05:51:04.429469,When is the next semester starting?,The next semester starts in January 2026.,dislike
2026-01-14T21:16:04.429469,What is the address of the university?,The campus is in Mohakhali area of Dhaka city.,like
2026-01-10T00:45:04.429469,What are the admission requirements?,Students need good grades in SSC and HSC to get admission.,like
2026-01-11T12:08:04.429469,What is the duration of the CSE program?,It's a 4 years undergraduate program.,dislike
2026-01-15T16:57:04.429469,What is the address of the university?,"66 Mohakhali, Dhaka-1212, Bangladesh",like
2026-01-16T03:08:04.429469,How can I contact the admissions office?,You can reach admissions at admissions@university.edu or phone +880-2-123456,dislike
2026-01-10T10:29:04.429469,What is the duration of the CSE program?,It's a 4 years undergraduate program.,like
2026-01-09T11:12:04.429469,When is the next semester starting?,The next semester starts in January 2026.,like
2026-01-12T22:44:04.429469,What is the address of the university?,The campus is in Mohakhali area of Dhaka city.,dislike
2026-01-09T14:55:04.429469,What is the address of the university?,The campus is in Mohakhali area of Dhaka city.,dislike
2026-01-12T01:26:04.429469,What is the address of the university?,"66 Mohakhali, Dhaka-1212, Bangladesh",like
2026-01-10T10:34:04.429469,What are the admission requirements?,Students need good grades in SSC and HSC to get admission.,dislike
2026-01-10T15:23:04.429469,How can I contact the admissions office?,You can reach admissions at admissions@university.edu or phone +880-2-123456,dislike
2026-01-14T08:26:04.429469,What is the duration of the CSE program?,It's a 4 years undergraduate program.,like
2026-01-10T17:17:04.429469,How can I contact the admissions office?,You can reach admissions at admissions@university.edu or phone +880-2-123456,dislike
2026-01-09T22:23:04.429469,When is the next semester starting?,The next semester starts in January 2026.,like
2026-01-10T04:53:04.429469,What programs does the university offer?,"The university offers programs in CSE, EEE, BBA, Law, and Journalism.",dislike
2026-01-09T17:16:04.429469,What is the tuition fee for CSE?,"For CSE program, the tuition is Tk. 589,900 for top GPA students.",like
2026-01-13T19:43:04.429469,How can I contact the admissions office?,You can reach admissions at admissions@university.edu or phone +880-2-123456,like
2026-01-12T14:03:04.429469,What programs does the university offer?,"The university offers programs in CSE, EEE, BBA, Law, and Journalism.",like
2026-01-11T16:02:04.429469,What is the duration of the CSE program?,It's a 4 years undergraduate program.,like
2026-01-15T07:24:04.429469,How can I contact the admissions office?,You can reach admissions at admissions@university.edu or phone +880-2-123456,dislike
2026-01-11T04:02:04.429469,What programs does the university offer?,"The university offers programs in CSE, EEE, BBA, Law, and Journalism.",dislike
2026-01-11T04:28:04.429469,What programs does the university offer?,"The university offers programs in CSE, EEE, BBA, Law, and Journalism.",like
2026-01-11T10:55:04.429469,What is the address of the university?,"66 Mohakhali, Dhaka-1212, Bangladesh",like
2026-01-15T08:46:04.429469,What is the duration of the CSE program?,It's a 4 years undergraduate program.,dislike
