timestamp,question,answer,response_time,source,confidence
2026-01-03T22:05:25.338004,What is the tuition fee for CSE?,"The tuition fee for CSE is Tk. 589,900 for students with combined GPA 10 (All A+).",4.13726458,llm,0.439513074
2026-01-01T01:05:25.338033,How long is the CSE program?,The BSc in CSE is a 4-year undergraduate program consisting of 8 semesters.,3.430665289,rag,0.642154579
2026-01-04T08:05:25.338043,What are the admission requirements?,"Admission requires minimum GPA in SSC and HSC, performance in admission test, and English proficiency.",3.765320677,llm,0.849018553
2026-01-09T01:05:25.338049,What programs does Green University offer?,"Green University offers CSE, EEE, BBA, Textile Engineering, English, Law, and more.",0.972021765,dataset_formatted,0.719737868
2026-01-15T01:05:25.338055,How can I get a scholarship?,Merit-based scholarships are available for top 5% students each semester based on GPA.,4.478431349,dataset,0.41681869
2026-01-07T16:05:25.338062,What is the BBA program fee?,The BBA program fee varies. Merit-based scholarships are available to reduce costs.,2.727952574,dataset,0.884447154
2026-01-06T03:05:25.338068,What facilities does the university have?,"The university has modern labs, computer facilities, library, sports facilities, and cafeteria.",4.245125882,dataset,0.776488588
2025-12-31T23:05:25.338077,When does admission start?,Please check the website or contact admission office at 01775234234 for admission dates.,3.728915741,dataset_formatted,0.755963645
2026-01-15T09:05:25.338083,What is the fee for EEE department?,The EEE program fee varies. Merit-based scholarships are available for top performers.,1.245554704,rag,0.60479748
2026-01-08T07:05:25.338090,What is the textile engineering fee?,"The Textile Engineering fee is BDT 70,000 per semester.",1.403195059,llm,0.470150117
2025-12-30T02:05:25.338096,What is the tuition fee for CSE?,"The tuition fee for CSE is Tk. 589,900 for students with combined GPA 10 (All A+).",4.525095103,dataset_formatted,0.682637183
2025-12-16T19:05:25.338102,How long is the CSE program?,The BSc in CSE is a 4-year undergraduate program consisting of 8 semesters.,2.663315332,dataset,0.489139829
2025-12-25T05:05:25.338108,What are the admission requirements?,"Admission requires minimum GPA in SSC and HSC, performance in admission test, and English proficiency.",2.850273265,dataset,0.55619994
